"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8155849","8155849","ANXA1","annexin A1",1.14473387000386,8.86513980030482,7.52114542341015,4.72206623999357e-06,0.00364880130164182,4.50299617613017
"8052269","8052269","CCDC88A","coiled-coil domain containing 88A",0.586793159190599,6.28152141453426,7.48989329220846,4.93530580100165e-06,0.00364880130164182,4.46199080058398
"7985662","7985662","PDE8A","phosphodiesterase 8A",-0.843501822506022,8.03553994873695,-7.47597089971517,5.03357234675654e-06,0.00364880130164182,4.44367758853233
"8053406","8053406","RETSAT","retinol saturase (all-trans-retinol 13,14-reductase)",-0.766338676834522,8.89876531142593,-7.41041519853948,5.52501949460722e-06,0.00364880130164182,4.3570656977504
"8154295","8154295","IL33","interleukin 33",1.10018136641536,4.89424569160051,7.40972828125892,5.53043098824631e-06,0.00364880130164182,4.35615480757776
"8008263","8008263","PDK2","pyruvate dehydrogenase kinase, isozyme 2",-0.89767113921337,6.57704301838741,-7.3995162020685,5.61154819843177e-06,0.00364880130164182,4.34260484446353
"7938687","7938687","NUCB2","nucleobindin 2",0.505175916457344,8.38705932817503,7.36322060520001,5.91022921167525e-06,0.00370067907602155,4.29432152169468
"7909332","7909332","CD55","CD55 molecule, decay accelerating factor for complement (Cromer blood group)",1.49913039910981,8.23765162547833,7.31164426768903,6.3640207334339e-06,0.00371827920936949,4.22537594352604
"7962559","7962559","SLC38A4","solute carrier family 38, member 4",-2.29473406164582,4.87807392794315,-7.31009461599884,6.37821466176003e-06,0.00371827920936949,4.22329832640049
"8167185","8167185","TIMP1","TIMP metallopeptidase inhibitor 1",1.71408455977724,8.97985061444386,7.23538479909873,7.10398557061532e-06,0.00395942726290599,4.12271179310807
"8127854","8127854","ME1","malic enzyme 1, NADP(+)-dependent, cytosolic",0.89693087453815,6.47380461206953,7.21165421951176,7.35246461355795e-06,0.00395942726290599,4.09058786231819
"7935230","7935230","ALDH18A1","aldehyde dehydrogenase 18 family, member A1",-0.556569079909837,9.22634234290753,-7.17904726915461,7.70902854913433e-06,0.00395942726290599,4.04631078037687
"8113433","8113433","EFNA5","ephrin-A5",-0.593892641530921,4.89494254974477,-7.1772967742506,7.72868210551862e-06,0.00395942726290599,4.04392927697821
"8016457","8016457","HOXB5","homeobox B5",-0.652482572089944,5.10559321130228,-7.10431605309441,8.59725222459472e-06,0.00409276468056311,3.94423161903505
"8169473","8169473","PLS3","plastin 3",0.637749925542379,7.00256895376098,7.1028555637812,8.61565596242828e-06,0.00409276468056311,3.94222829686522
"8050240","8050240","ODC1","ornithine decarboxylase 1",0.571048744261244,9.20291717233023,7.09149306545623,8.76027016558602e-06,0.00409276468056311,3.9266316219795
"7918622","7918622","SLC16A1","solute carrier family 16 (monocarboxylate transporter), member 1",-1.1534606305548,8.61672812376347,-7.06591633798688,9.09529297971652e-06,0.00409276468056311,3.89145261136077
"8030374","8030374","FCGRT","Fc fragment of IgG, receptor, transporter, alpha",-0.590143642774464,8.2741758555792,-7.02180229898619,9.70544983882128e-06,0.00409276468056311,3.83054452896687
"8045539","8045539","KYNU","kynureninase",1.70745114927223,5.39833992429805,7.02062342882369,9.72233864979701e-06,0.00409276468056311,3.82891282644191
"7925492","7925492","OPN3","opsin 3",-0.701832847500318,6.89251418542219,-6.98999964499859,1.01721570661395e-05,0.00409276468056311,3.78645187242635
"7919067","7919067","REG4","regenerating islet-derived family, member 4",2.08457814928769,6.63060542165772,6.97752846164498,1.03616135088986e-05,0.00409276468056311,3.76911934962354
"8088247","8088247","ARHGEF3","Rho guanine nucleotide exchange factor (GEF) 3",0.546373009698101,5.84250285924261,6.97561343441883,1.03910353103772e-05,0.00409276468056311,3.76645574073325
"7901951","7901951","PGM1","phosphoglucomutase 1",-0.615134158010104,8.70406799835992,-6.96633064721212,1.0534912653371e-05,0.00409276468056311,3.75353642301411
"8059538","8059538","SLC19A3","solute carrier family 19 (thiamine transporter), member 3",-0.780254450550718,5.3811845547059,-6.95887890964157,1.06519369421967e-05,0.00409276468056311,3.74315598588213
"8107920","8107920","SLC22A5","solute carrier family 22 (organic cation/carnitine transporter), member 5",-1.13692284556118,7.26041630602574,-6.93759700082485,1.09938016200665e-05,0.00413024911530764,3.7134632719638
"7960730","7960730","LPCAT3","lysophosphatidylcholine acyltransferase 3",-0.74181021952411,8.85230597489037,-6.91238846173529,1.14138425640474e-05,0.00418858022595614,3.67820279085047
"8154233","8154233","CD274","CD274 molecule",1.62567488953957,5.62523709742305,6.87281000857896,1.21079783706593e-05,0.00418858022595614,3.62264663641538
"7977046","7977046","TNFAIP2","tumor necrosis factor, alpha-induced protein 2",0.722142835648724,5.90142705092552,6.87265059330553,1.21108629714302e-05,0.00418858022595614,3.62242238145591
"8007043","8007043","RAPGEFL1","Rap guanine nucleotide exchange factor (GEF)-like 1",-1.0213746233822,6.89221914464641,-6.87103742124773,1.21400941128505e-05,0.00418858022595614,3.62015285796161
"8079060","8079060","VIPR1","vasoactive intestinal peptide receptor 1",-0.9039066481483,7.15407977445372,-6.80848269270799,1.33332446581208e-05,0.00423969465065797,3.53183899728699
"8143643","8143643","TPK1","thiamin pyrophosphokinase 1",0.584141602913181,5.51920378570666,6.80801197962393,1.33426798455144e-05,0.00423969465065797,3.53117217587442
"8002571","8002571","PHLPP2","PH domain and leucine rich repeat protein phosphatase 2",-1.21782163358175,6.75820858944737,-6.79944855392633,1.35155687847704e-05,0.00423969465065797,3.51903511647039
"8077441","8077441","BHLHE40","basic helix-loop-helix family, member e40",0.873581568010603,7.13299243362265,6.79613392818881,1.35831238006481e-05,0.00423969465065797,3.5143342276901
"7928695","7928695","FAM213A","family with sequence similarity 213, member A",-0.604570467873006,7.66681665648171,-6.79014079279082,1.37061783451256e-05,0.00423969465065797,3.50583031951557
"8009746","8009746","SLC16A5","solute carrier family 16 (monocarboxylate transporter), member 5",-0.590170417857768,5.6278227226131,-6.7859500500046,1.37929259308049e-05,0.00423969465065797,3.49988062015375
"8151056","8151056","CYP7B1","cytochrome P450, family 7, subfamily B, polypeptide 1",0.790575882271217,5.3627090641358,6.76469401444803,1.42419617967231e-05,0.00429954653813215,3.46966130544504
"8021470","8021470","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1",0.601069962494698,5.20290511974758,6.69862737139781,1.57391617424662e-05,0.00447256198709264,3.37529108626079
"7980861","7980861","CATSPERB","catsper channel auxiliary subunit beta",0.833010052866901,4.84493263923981,6.68903514626745,1.59700260815058e-05,0.00447256198709264,3.36153344964903
"8105348","8105348","GPX8","glutathione peroxidase 8 (putative)",0.922850975267918,5.28669945551943,6.68432569488044,1.60846814178996e-05,0.00447256198709264,3.35477371963848
"7965040","7965040","PHLDA1","pleckstrin homology-like domain, family A, member 1",1.04074760657588,6.49461064617956,6.65761089277063,1.67517713480619e-05,0.00447256198709264,3.31636359639087
"8081890","8081890","PLA1A","phospholipase A1 member A",1.09840921079189,4.71002981615287,6.64449944642972,1.70898249216978e-05,0.00447256198709264,3.29747175107362
"8127841","8127841","PGM3","phosphoglucomutase 3",0.47509443165203,7.79477864422554,6.63444776117576,1.73538724781286e-05,0.00447256198709264,3.28297057947864
"8105040","8105040","OSMR","oncostatin M receptor",1.24297514959788,6.45053437809231,6.63336068387667,1.73826863995239e-05,0.00447256198709264,3.28140135750392
"8146863","8146863","SULF1","sulfatase 1",0.880373175336395,6.40251309626866,6.62868080846174,1.75073096322454e-05,0.00447256198709264,3.27464375414012
"8113130","8113130","MCTP1","multiple C2 domains, transmembrane 1",0.64790411721027,6.41114481468827,6.62700660973744,1.75521221063615e-05,0.00447256198709264,3.27222543551573
"8018558","8018558","ACOX1","acyl-CoA oxidase 1, palmitoyl",-1.03332590741755,8.61222573078648,-6.6238903456525,1.76358570514885e-05,0.00447256198709264,3.26772294908227
"8133961","8133961","RUNDC3B","RUN domain containing 3B",-0.713839226546706,5.15392770157408,-6.60039167855114,1.82810413532709e-05,0.00447256198709264,3.23372275407067
"7940160","7940160","DTX4","deltex 4, E3 ubiquitin ligase",-0.571105217033969,7.15257828192962,-6.5972461063423,1.83692832672177e-05,0.00447256198709264,3.22916492606024
"7993126","7993126","ABAT","4-aminobutyrate aminotransferase",-0.666439407969024,6.11388825423872,-6.59286953870317,1.84928080778398e-05,0.00447256198709264,3.22282087159966
"7920128","7920128","S100A11","S100 calcium binding protein A11",0.902668342330134,8.5999101657135,6.59195150894793,1.85188299477395e-05,0.00447256198709264,3.22148976402722
"8046759","8046759","DNAJC10","DnaJ (Hsp40) homolog, subfamily C, member 10",0.515670292197241,8.60280009893242,6.57209826058194,1.90911541942754e-05,0.00451170939096469,3.19267129561172
"8158167","8158167","LCN2","lipocalin 2",1.86243882276172,8.16654126418343,6.55968541765027,1.94584672238366e-05,0.00451170939096469,3.17462200887445
"8062927","8062927","PI3","peptidase inhibitor 3, skin-derived",1.97030767533294,7.46145660391273,6.55658053532227,1.95515083267582e-05,0.00451170939096469,3.170103510946
"8057821","8057821","DNAH7","dynein, axonemal, heavy chain 7",-0.652908485907341,4.12842761030373,-6.53286809213247,2.0277778789642e-05,0.00451170939096469,3.13554561523518
"8084589","8084589","MAP3K13","mitogen-activated protein kinase kinase kinase 13",-0.605585284119052,6.29385067796055,-6.5221169702928,2.06164138620063e-05,0.00451170939096469,3.11984837638226
"8073088","8073088","APOBEC3G","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G",0.772146930319304,4.54013391564862,6.51874315807151,2.07239093357881e-05,0.00451170939096469,3.11491871154686
"8000184","8000184","IGSF6","immunoglobulin superfamily, member 6",0.740888206692629,7.28092570412275,6.50176215126944,2.12740222833686e-05,0.00451170939096469,3.09007989472586
"7926916","7926916","ZEB1","zinc finger E-box binding homeobox 1",0.535850751288089,5.86456012101437,6.49692218377791,2.14336279576195e-05,0.00451170939096469,3.08299204643549
"8006906","8006906","ERBB2","erb-b2 receptor tyrosine kinase 2",-0.780194849388914,7.15094276801424,-6.49671358320237,2.14405352814955e-05,0.00451170939096469,3.08268648105977
"8073062","8073062","APOBEC3B","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B",-1.18065516516244,6.33697294818108,-6.49104002961738,2.16293068938777e-05,0.00451170939096469,3.07437306122045
"8088602","8088602","MAGI1","membrane associated guanylate kinase, WW and PDZ domain containing 1",-0.670286482276933,6.21441123072824,-6.48029317396316,2.19917099566476e-05,0.00451170939096469,3.05861200824004
"8138834","8138834","FKBP14","FK506 binding protein 14, 22 kDa",0.47366536787544,5.24753285914815,6.4772779240279,2.20945383655482e-05,0.00451170939096469,3.0541866869153
"7997158","7997158","MARVELD3","MARVEL domain containing 3",-0.607401447069273,7.38286804583999,-6.47565089936787,2.2150235386849e-05,0.00451170939096469,3.05179820060204
"8128939","8128939","TRAF3IP2","TRAF3 interacting protein 2",-0.547250827987414,6.99403408829501,-6.45987061647927,2.26981954145277e-05,0.00452226694418691,3.02861117898318
"8096070","8096070","BMP3","bone morphogenetic protein 3",-1.52757535133063,6.84700261169845,-6.45876679205298,2.27370572729142e-05,0.00452226694418691,3.02698780193338
"7902104","7902104","PDE4B","phosphodiesterase 4B, cAMP-specific",0.840701120328073,5.11472702216469,6.44735626528808,2.31429275136382e-05,0.00454849902179395,3.01019537575006
"8101131","8101131","CXCL11","chemokine (C-X-C motif) ligand 11",1.98003142552619,5.25078339436013,6.4339624060193,2.36291325744311e-05,0.00454849902179395,2.99045821776682
"8096176","8096176","PTPN13","protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)",0.673265565096632,5.44486966177854,6.43176837331395,2.37098005920042e-05,0.00454849902179395,2.98722242558669
"8047692","8047692","CTLA4","cytotoxic T-lymphocyte-associated protein 4",1.18713413970449,4.95783701807298,6.42541252580247,2.3945132671221e-05,0.00454849902179395,2.97784448182636
"7997491","7997491","HSD17B2","hydroxysteroid (17-beta) dehydrogenase 2",-1.17975700247892,8.72130879956391,-6.41771363253597,2.42335019405399e-05,0.00455212870896409,2.96647644304924
"7979204","7979204","FERMT2","fermitin family member 2",0.60320234488562,5.9958101699033,6.40601213726269,2.46788392873907e-05,0.00458484018673217,2.94918049748453
"8039226","8039226","LILRA3","leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3",1.09466714545131,4.15890061466107,6.38863180356721,2.53563288477008e-05,0.00465950103803511,2.92345116234749
"7910950","7910950","KMO","kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)",0.884989822053703,4.16629315796516,6.37087915807058,2.60686478053876e-05,0.00473888773976219,2.89712188627538
"8153474","8153474","TSTA3","tissue specific transplantation antigen P35B",0.743818216886325,8.30197877270445,6.35208764005802,2.68457271743315e-05,0.00477989513233542,2.86919810306057
"8157253","8157253","SNX30","sorting nexin family member 30",-0.690742453024818,7.18846398532066,-6.34896766162835,2.69770969226842e-05,0.00477989513233542,2.86455653233446
"8007008","8007008","THRA","thyroid hormone receptor, alpha",-0.502241794421051,6.4341642214722,-6.34506377685076,2.71424306580031e-05,0.00477989513233542,2.85874660262074
"7935180","7935180","PDLIM1","PDZ and LIM domain 1",-0.43135304573847,8.950461371131,-6.33489877557698,2.75779697166694e-05,0.00478735397018591,2.84360741096574
"8154178","8154178","JAK2","Janus kinase 2",0.616401481585091,6.93754481025737,6.33068431150664,2.77607051127469e-05,0.00478735397018591,2.83732587482373
"7932227","7932227","NMT2","N-myristoyltransferase 2",-0.579578849266739,6.6092793994493,-6.32442856057386,2.80343098928431e-05,0.00478735397018591,2.82799672958214
"8094625","8094625","KLHL5","kelch-like family member 5",0.971659412813225,5.89782230312005,6.30454995266959,2.8922790480184e-05,0.00488968695857991,2.79831123854094
"7921434","7921434","AIM2","absent in melanoma 2",0.942901459521116,5.18191019418793,6.29436635343154,2.93894200655378e-05,0.00489012243717352,2.78307968668319
"8098084","8098084","ETFDH","electron-transferring-flavoprotein dehydrogenase",-0.910632581546963,8.27833583386965,-6.28292909152264,2.99229851774513e-05,0.00489012243717352,2.76595365494928
"8095467","8095467","FDCSP","follicular dendritic cell secreted protein",1.29526198202808,4.8589428453468,6.26866333495026,3.06028729148288e-05,0.00489012243717352,2.74456351740079
"7926037","7926037","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",1.01244767432163,6.52568270794346,6.26273275994307,3.08902973262901e-05,0.00489012243717352,2.73566179474905
"8088560","8088560","ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif, 9",0.768854700088697,5.21157025817086,6.25442578766993,3.12976930068528e-05,0.00489012243717352,2.72318385192034
"7922219","7922219","SELL","selectin L",1.59792873769355,6.71991487448456,6.24230270761139,3.19024469979661e-05,0.00489012243717352,2.70495428722978
"8169541","8169541","DOCK11","dedicator of cytokinesis 11",0.727900945444264,6.78173909582961,6.22405450954248,3.28361093886531e-05,0.00489012243717352,2.67747085523122
"8155754","8155754","MAMDC2","MAM domain containing 2",-1.01326630688786,5.16900819022895,-6.21484827313353,3.33180448742188e-05,0.00489012243717352,2.66358559936932
"8100984","8100984","CXCL3","chemokine (C-X-C motif) ligand 3",0.738706562143876,4.91271391195157,6.21431295749703,3.33462966280331e-05,0.00489012243717352,2.66277780322396
"8135955","8135955","CALU","calumenin",0.605868130190482,7.43759570454254,6.21274996516943,3.34289296551577e-05,0.00489012243717352,2.6604189762451
"7976080","7976080","GPR65","G protein-coupled receptor 65",0.780250436543041,5.40796101482421,6.20475470778077,3.38550191772507e-05,0.00489012243717352,2.64834674578592
"8124950","8124950","LTB","lymphotoxin beta (TNF superfamily, member 3)",0.530069778590879,7.00127978082679,6.19510521073134,3.4376911331254e-05,0.00489012243717352,2.6337633750975
"8178512","8178512","LTB","lymphotoxin beta (TNF superfamily, member 3)",0.530069778590879,7.00127978082679,6.19510521073134,3.4376911331254e-05,0.00489012243717352,2.6337633750975
"8179768","8179768","LTB","lymphotoxin beta (TNF superfamily, member 3)",0.530069778590879,7.00127978082679,6.19510521073134,3.4376911331254e-05,0.00489012243717352,2.6337633750975
"7957023","7957023","LYZ","lysozyme",0.888721521806463,10.6516869536796,6.18778512725717,3.47784758461868e-05,0.00489012243717352,2.62269071694056
"8054722","8054722","IL1B","interleukin 1, beta",2.62978854584452,7.03428319424657,6.18608162935776,3.48726340836607e-05,0.00489012243717352,2.62011272951444
"8089835","8089835","FSTL1","follistatin-like 1",0.971309282605893,8.04884194551408,6.18482117093502,3.49424770771993e-05,0.00489012243717352,2.61820492229915
"8110841","8110841","LPCAT1","lysophosphatidylcholine acyltransferase 1",0.767959758408221,6.58912110021999,6.18019582986415,3.52000377501528e-05,0.00489012243717352,2.61120195193237
"8097973","8097973","GUCY1B3","guanylate cyclase 1, soluble, beta 3",0.835582031168521,5.7567784446404,6.17878725232633,3.52788711612227e-05,0.00489012243717352,2.60906863615953
"8016463","8016463","HOXB6","homeobox B6",-0.672956416717364,6.51122984864465,-6.17379576762238,3.55597306461631e-05,0.00489012243717352,2.60150643557913
"7923812","7923812","RAB29","RAB29, member RAS oncogene family",0.600141309361277,6.11934623224325,6.17284542367587,3.56134710924308e-05,0.00489012243717352,2.60006620188256
"7995128","7995128","ITGAX","integrin, alpha X (complement component 3 receptor 4 subunit)",0.973952584082731,5.61242450992937,6.17146377782598,3.56917538396902e-05,0.00489012243717352,2.59797208288038
"7946454","7946454","SCUBE2","signal peptide, CUB domain, EGF-like 2",-0.714413467413859,5.32007479218006,-6.16426850386515,3.61023755235084e-05,0.00489012243717352,2.58706157742237
"8132439","8132439","SUGCT","succinyl-CoA:glutarate-CoA transferase",-0.917663909642715,5.28436322348655,-6.16353948429123,3.61442565120708e-05,0.00489012243717352,2.58595567988799
"8022572","8022572","OSBPL1A","oxysterol binding protein-like 1A",-0.675555940498878,6.44311570455275,-6.16332291470983,3.6156707952602e-05,0.00489012243717352,2.58562713522765
"7931293","7931293","DOCK1","dedicator of cytokinesis 1",-0.614328898858175,7.18975911582633,-6.1581965847633,3.6452765749029e-05,0.00489103537899273,2.57784813840981
"8141016","8141016","TFPI2","tissue factor pathway inhibitor 2",1.13189893177647,4.91468537291778,6.14859035636074,3.70144543135492e-05,0.00490168848994799,2.56325996554652
"7909306","7909306","C4BPB","complement component 4 binding protein, beta",1.23504322375172,4.54228880284056,6.14693711228792,3.71120387266853e-05,0.00490168848994799,2.56074786083381
"8014115","8014115","MYO1D","myosin ID",-0.854271803236188,9.26212828589589,-6.13626477989567,3.77485487262202e-05,0.00494710825399596,2.54452091999892
"7975926","7975926","CIPC","CLOCK-interacting pacemaker",-0.82019705767801,6.59440682608768,-6.11422125171669,3.90999761422534e-05,0.00505991417345242,2.51094780567426
"7951284","7951284","MMP3","matrix metallopeptidase 3",4.11275757392077,6.25100653102282,6.10795437956814,3.9493424987654e-05,0.00505991417345242,2.50138919312579
"8028955","8028955","CYP2B7P","cytochrome P450, family 2, subfamily B, polypeptide 7, pseudogene",-1.43152021260183,4.41091150460531,-6.10773621378005,3.95071969061705e-05,0.00505991417345242,2.50105632235791
"7920244","7920244","S100A8","S100 calcium binding protein A8",2.74117210928202,6.61051881664124,6.09051633003503,4.06103518612033e-05,0.00513009797214964,2.47475916220628
"8092348","8092348","LAMP3","lysosomal-associated membrane protein 3",1.13269180957924,6.2705846970144,6.08972101365524,4.06620802240655e-05,0.00513009797214964,2.47354347816503
"8086185","8086185","PLCD1","phospholipase C, delta 1",-0.788712213191024,6.47077764218167,-6.07898620620551,4.13671220707397e-05,0.0051551756191805,2.45712502513777
"7972557","7972557","GPR183","G protein-coupled receptor 183",0.886120420983445,5.89215789214227,6.07504519282062,4.16291843232167e-05,0.0051551756191805,2.45109286287133
"8165866","8165866","STS","steroid sulfatase (microsomal), isozyme S",0.597410973759477,6.12467821902515,6.07285402045883,4.17756453228279e-05,0.0051551756191805,2.44773797305979
"8146092","8146092","IDO1","indoleamine 2,3-dioxygenase 1",2.89426444312957,7.1950679599787,6.06792295177544,4.21072349265616e-05,0.00515844140339457,2.44018528782814
"8180034","8180034","TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",0.7251884779718,7.24327322615325,6.05462170088806,4.30155864021248e-05,0.00516907805752687,2.41979334609383
"8140556","8140556","HGF","hepatocyte growth factor (hepapoietin A; scatter factor)",0.897742002101659,4.99895094084739,6.05130542611587,4.32452582110563e-05,0.00516907805752687,2.41470488936492
"8162264","8162264","AUH","AU RNA binding protein/enoyl-CoA hydratase",-0.489179728475235,7.9183599591284,-6.04781871488385,4.34881280505587e-05,0.00516907805752687,2.40935305426091
"8010426","8010426","RNF213","ring finger protein 213",0.77268625250917,8.21269059781018,6.04503756617031,4.36828818119574e-05,0.00516907805752687,2.40508283495586
"8045974","8045974","SLC4A10","solute carrier family 4, sodium bicarbonate transporter, member 10",-1.2865078358863,4.7578284206308,-6.04446870943081,4.37228298962701e-05,0.00516907805752687,2.40420925377913
"8135480","8135480","DNAJB9","DnaJ (Hsp40) homolog, subfamily B, member 9",0.610220092710025,6.34932591434491,6.03426886537404,4.44456879534093e-05,0.00520924420882407,2.38853694663143
"8123695","8123695","ECI2","enoyl-CoA delta isomerase 2",-0.525721685547917,6.86578655356731,-6.03101628477274,4.46788365242807e-05,0.00520924420882407,2.38353584258363
"7917182","7917182","ADGRL4","adhesion G protein-coupled receptor L4",0.997247399884677,5.2440072124336,6.00989770155913,4.62243334340186e-05,0.00531093830567767,2.35102391937077
"7966003","7966003","APPL2","adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2",-0.834739345590206,8.53978441221754,-6.00621870317831,4.64992812282847e-05,0.00531093830567767,2.34535296377269
"7909455","7909455","TRAF3IP3","TRAF3 interacting protein 3",0.607194283037005,5.53115638528187,5.9962647857291,4.7251854054064e-05,0.00531093830567767,2.32999894572212
"7935337","7935337","PIK3AP1","phosphoinositide-3-kinase adaptor protein 1",0.866452562646326,6.91856507896983,5.99335984927827,4.74738946006543e-05,0.00531093830567767,2.32551512036589
"8059650","8059650","SP110","SP110 nuclear body protein",0.751617380265795,6.21582054187637,5.99226800157624,4.75576346080726e-05,0.00531093830567767,2.32382948994999
"8120402","8120402","BAG2","BCL2-associated athanogene 2",0.597984663395732,6.02686149476456,5.9901873756043,4.77176407342743e-05,0.00531093830567767,2.32061683311331
"7902527","7902527","PTGFR","prostaglandin F receptor (FP)",0.788376019112087,4.82167545683758,5.98976662700744,4.77500663943574e-05,0.00531093830567767,2.31996708024533
"7902367","7902367","ACADM","acyl-CoA dehydrogenase, C-4 to C-12 straight chain",-0.659112337772999,9.51042767213475,-5.97541569304114,4.88700580370191e-05,0.00538084187666725,2.29778861243419
"8097957","8097957","GUCY1A3","guanylate cyclase 1, soluble, alpha 3",1.0077125443197,6.20262536033912,5.97159030197061,4.91732511346703e-05,0.00538084187666725,2.29187125519391
"8178841","8178841","TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",0.706485221114314,7.2847920657039,5.96957969391446,4.93334018031127e-05,0.00538084187666725,2.28876019874138
"8037032","8037032","B3GNT8","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",-0.487313230376944,5.38087087182853,-5.96487593672909,4.97102193805234e-05,0.0053865333585166,2.28147949799649
"7922200","7922200","SELP","selectin P (granule membrane protein 140kDa, antigen CD62)",1.66854328591189,5.44671563583221,5.96100224448498,5.00228165909799e-05,0.0053865333585166,2.27548100517729
"7901140","7901140","MAST2","microtubule associated serine/threonine kinase 2",-0.66116583367672,6.72098378250206,-5.94738232165651,5.11384484844778e-05,0.00542930007184927,2.25437158461125
"8089771","8089771","CD80","CD80 molecule",0.863347096103942,5.18959613017974,5.94437111877368,5.1388620242042e-05,0.00542930007184927,2.24970061550273
"7988350","7988350","DUOX2","dual oxidase 2",2.7584916896124,7.44157924649451,5.94306109073042,5.1497859839603e-05,0.00542930007184927,2.24766805993568
"7932094","7932094","PHYH","phytanoyl-CoA 2-hydroxylase",-0.781858408009807,6.34858302005529,-5.94059026561684,5.17045611952994e-05,0.00542930007184927,2.24383375351925
